,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",-9.63159005,-6.83524245464592,-7.276745000000001,-6.857807320681018,-6.798950069478134,-9.793972060000002,-7.42525,-7.276745000000001,-7.2338330000000015,-7.33999768,-1000000.0,-9.61120811,6.00369972234119,-9.5688663644,-11.9930377745,-7.276745000000001
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",0.0,3.1839999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.15
"[0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, -1, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, -1, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0]",-1.7,0.0,0.0,0.0,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 0, 0, -1, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",17.18066761090954,-6.092217579314913,-6.111096792792758,-6.241379350008,-11.936298894500002,-6.236445123661146,-10.6689920908,-6.140894559604763,-6.029832100062809,-9.8226982672,-12.710970990611502,-9.270636668649589,-12.007437774500001,-7.276745000000001,-1000000.0,-18.875146662154453
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,4.603655000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,-0.5,0.0,0.0
"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 1, -1, 0]",0.0,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0
"[0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 1, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, -1, 1, -1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, 0, 0, 0, -1, 1, 0, 0, 1, 0, -1, 1, -1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-33.12107401669419,-33.12107401669419,-33.139863276527244,-33.139863276527244,-33.12107401669419,-33.17890276441653,-33.17890276441653,-33.139863276527244,-33.139863276527244,-33.178902764416534,-33.17890276441653,-33.12107401669419,-33.139863276527244,-33.139863276527244,-33.139863276527244,-33.12107401669419
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
