,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",-7.276745000000001,-6.462009992535098,-7.276745000000001,-6.283700435115476,-6.452232295812147,-9.793972060000002,-7.42525,-7.276745000000001,-7.233833000000001,-7.33999768,-1000000.0,-9.61120811,-6.281455524142921,-9.5688663644,-9.65397755,-7.276745000000001
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",0.0,3.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1500000000000001
"[0, 0, 0, 0, -1, 1, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.65,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, -1, 1, 0, 0, 0, 1, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, -1, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0]",-1.7,0.0,0.0,0.0,-1000000.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 0, 0, 0, -1, 1, -1, 0, 0, 1, -1, 0, 0, 0, 0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",-5.117866934537544,-5.213114329883559,-5.171922169337595,-5.0818077135701,-7.262345000000001,-5.213783577072054,-6.505564,-5.078494334330796,-5.10436410535613,-7.40746528,-10.658993823850002,-5.881194012,-9.65397755,-7.276745000000001,-1000000.0,-7.2695810000000005
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,4.603655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,-0.55,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,-0.5,0.0,0.0
"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 1, 0, 0, 1, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,0.0,0.0,0.0,0.0,0.0,0.0
