,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, 0, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1]",0.0,-2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 1, 0, 0, 0, 0, -1, 0, 0, 1, 0, 0, 0, -1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.3500000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 1, 0, 0, 0, 0, -1, -1, 0, 1, 0, 0, 0, -1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 1, 0, 0, 0, 0, -1, -1, 0, 1, 1, 0, 0, -1, 1]",-1000000.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, -1, 1, 0, -1, 0, 0, -1, -1, 0, 1, 1, 0, 0, -1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-4.875500000000001,-5.881194012,-4.090729609699006,-4.116023383761171,-1000000.0,-10.782189022,-6.4914505600000005,-4.099985861429025,-4.868335999999999,-4.968249999999999,-4.048132422350084,-3.9821914211670477,-12.007437774500001,-3.354872551724618,-4.875500000000001,-3.993202549833292
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",-2.45,0.0,0.0,0.0,0.0,0.0,-0.6,-0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0]",0.0,-1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
